sex,age,SES,PIF
male,57,3,0.130138946
male,58,3,0.130138946
male,59,3,0.130138946
male,60,3,0.128697982
male,61,3,0.128697982
male,62,3,0.128697982
male,63,3,0.128697982
male,64,3,0.128697982
male,65,3,0.057220571
male,66,3,0.057220571
male,67,3,0.057220571
male,68,3,0.057220571
male,69,3,0.057220571
male,70,3,0.048583697
male,71,3,0.048583697
male,72,3,0.048583697
male,73,3,0.048583697
male,74,3,0.048583697
male,75,3,0.010067192
male,76,3,0.010067192
male,77,3,0.010067192
male,78,3,0.010067192
male,79,3,0.010067192
male,80,3,0.005099831
male,81,3,0.005099831
male,82,3,0.005099831
male,83,3,0.005099831
male,84,3,0.005099831
male,85,3,0.005107255
male,86,3,0.005107255
male,87,3,0.005107255
male,88,3,0.005107255
male,89,3,0.005107255
male,90,3,0.005115915
male,91,3,0.005115915
male,92,3,0.005115915
male,93,3,0.005115915
male,94,3,0.005115915
male,95,3,0.005115915
male,96,3,0.005115915
male,97,3,0.005115915
male,98,3,0.005115915
male,99,3,0.005115915
male,100,3,0.005115915
male,101,3,0.005115915
male,102,3,0.005115915
male,103,3,0.005115915
male,104,3,0.005115915
male,105,3,0.005115915
male,106,3,0.005115915
male,107,3,0.005115915
male,108,3,0.005115915
male,109,3,0.005115915
male,110,3,0.005115915
female,0,3,0
female,1,3,0
female,2,3,0
female,3,3,0
female,4,3,0
female,5,3,0
female,6,3,0
female,7,3,0
female,8,3,0
female,9,3,0
female,10,3,0
female,11,3,0
female,12,3,0
female,13,3,0
female,14,3,0
female,15,3,0
female,16,3,0
female,17,3,0
female,18,3,0
female,19,3,0
female,20,3,0
female,21,3,0
female,22,3,0
female,23,3,0
female,24,3,0
female,25,3,0.047139231
female,26,3,0.047139231
female,27,3,0.047139231
female,28,3,0.047139231
female,29,3,0.047139231
female,30,3,0.063502872
female,31,3,0.063502872
female,32,3,0.063502872
female,33,3,0.063502872
female,34,3,0.063502872
female,35,3,0.072182492
female,36,3,0.072182492
female,37,3,0.072182492
female,38,3,0.072182492
female,39,3,0.072182492
female,40,3,0.08354403
female,41,3,0.08354403
female,42,3,0.08354403
female,43,3,0.08354403
female,44,3,0.08354403
female,45,3,0.074239863
female,46,3,0.074239863
female,47,3,0.074239863
female,48,3,0.074239863
female,49,3,0.074239863
female,50,3,0.079882143
female,51,3,0.079882143
female,52,3,0.079882143
female,53,3,0.079882143
female,54,3,0.079882143
female,55,3,0.074352622
female,56,3,0.074352622
female,57,3,0.074352622
female,58,3,0.074352622
female,59,3,0.074352622
female,60,3,0.074832377
female,61,3,0.074832377
female,62,3,0.074832377
female,63,3,0.074832377
female,64,3,0.074832377
female,65,3,0.040887162
female,66,3,0.040887162
female,67,3,0.040887162
female,68,3,0.040887162
female,69,3,0.040887162
female,70,3,0.034799359
female,71,3,0.034799359
female,72,3,0.034799359
female,73,3,0.034799359
female,74,3,0.034799359
female,75,3,0.057112115
female,76,3,0.057112115
female,77,3,0.057112115
female,78,3,0.057112115
female,79,3,0.057112115
female,80,3,0.027773396
female,81,3,0.027773396
female,82,3,0.027773396
female,83,3,0.027773396
female,84,3,0.027773396
female,85,3,0.012840324
female,86,3,0.012840324
female,87,3,0.012840324
female,88,3,0.012840324
female,89,3,0.012840324
female,90,3,0.012828254
female,91,3,0.012828254
female,92,3,0.012828254
female,93,3,0.012828254
female,94,3,0.012828254
female,95,3,0.012828254
female,96,3,0.012828254
female,97,3,0.012828254
female,98,3,0.012828254
female,99,3,0.012828254
female,100,3,0.012828254
female,101,3,0.012828254
female,102,3,0.012828254
female,103,3,0.012828254
female,104,3,0.012828254
female,105,3,0.012828254
female,106,3,0.012828254
female,107,3,0.012828254
female,108,3,0.012828254
female,109,3,0.012828254
female,110,3,0.012828254
male,0,4,0
male,1,4,0
male,2,4,0
male,3,4,0
male,4,4,0
male,5,4,0
male,6,4,0
male,7,4,0
male,8,4,0
male,9,4,0
male,10,4,0
male,11,4,0
male,12,4,0
male,13,4,0
male,14,4,0
male,15,4,0
male,16,4,0
male,17,4,0
male,18,4,0
male,19,4,0
male,20,4,0
male,21,4,0
male,22,4,0
male,23,4,0
male,24,4,0
male,25,4,0.094701419
male,26,4,0.094701419
male,27,4,0.094701419
male,28,4,0.094701419
male,29,4,0.094701419
male,30,4,0.125622637
male,31,4,0.125622637
male,32,4,0.125622637
male,33,4,0.125622637
male,34,4,0.125622637
male,35,4,0.149479166
male,36,4,0.149479166
male,37,4,0.149479166
male,38,4,0.149479166
male,39,4,0.149479166
male,40,4,0.171124671
male,41,4,0.171124671
male,42,4,0.171124671
male,43,4,0.171124671
male,44,4,0.171124671
male,45,4,0.139492219
male,46,4,0.139492219
male,47,4,0.139492219
male,48,4,0.139492219
male,49,4,0.139492219
male,50,4,0.146598663
male,51,4,0.146598663
male,52,4,0.146598663
male,53,4,0.146598663
male,54,4,0.146598663
male,55,4,0.130138946
male,56,4,0.130138946
male,57,4,0.130138946
male,58,4,0.130138946
male,59,4,0.130138946
male,60,4,0.128697982
male,61,4,0.128697982
male,62,4,0.128697982
male,63,4,0.128697982
male,64,4,0.128697982
male,65,4,0.057220571
male,66,4,0.057220571
male,67,4,0.057220571
male,68,4,0.057220571
male,69,4,0.057220571
male,70,4,0.048583697
male,71,4,0.048583697
male,72,4,0.048583697
male,73,4,0.048583697
male,74,4,0.048583697
male,75,4,0.010067192
male,76,4,0.010067192
