age,sex,sub_pops,prop0,prop1,prop2,prop3,prop4,mort_RR0,mort_RR1,mort_RR2,mort_RR3,mort_RR4,yld_RR0,yld_RR1,yld_RR2,yld_RR3,yld_RR4
101,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
102,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
103,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
104,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
105,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
106,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
107,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
108,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
109,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
110,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
0,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
1,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
2,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
3,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
4,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
5,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
6,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
7,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
8,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
9,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
10,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
11,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
12,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
13,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
14,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
15,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
16,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
17,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
18,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
19,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
20,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
21,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
22,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
23,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
24,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
25,male,5,0.2,0.2,0.2,0.2,0.2,1.667803539,1.500852654,1.333901769,1.166950885,1,1.260250024,1.195187518,1.130125012,1.065062506,1
26,male,5,0.2,0.2,0.2,0.2,0.2,1.667803539,1.500852654,1.333901769,1.166950885,1,1.260250024,1.195187518,1.130125012,1.065062506,1
27,male,5,0.2,0.2,0.2,0.2,0.2,1.667803539,1.500852654,1.333901769,1.166950885,1,1.260250024,1.195187518,1.130125012,1.065062506,1
28,male,5,0.2,0.2,0.2,0.2,0.2,1.667803539,1.500852654,1.333901769,1.166950885,1,1.260250024,1.195187518,1.130125012,1.065062506,1
29,male,5,0.2,0.2,0.2,0.2,0.2,1.667803539,1.500852654,1.333901769,1.166950885,1,1.260250024,1.195187518,1.130125012,1.065062506,1
30,male,5,0.2,0.2,0.2,0.2,0.2,1.679494989,1.509621242,1.339747494,1.169873747,1,1.362907875,1.272180906,1.181453937,1.090726969,1
31,male,5,0.2,0.2,0.2,0.2,0.2,1.679494989,1.509621242,1.339747494,1.169873747,1,1.362907875,1.272180906,1.181453937,1.090726969,1
32,male,5,0.2,0.2,0.2,0.2,0.2,1.679494989,1.509621242,1.339747494,1.169873747,1,1.362907875,1.272180906,1.181453937,1.090726969,1
33,male,5,0.2,0.2,0.2,0.2,0.2,1.679494989,1.509621242,1.339747494,1.169873747,1,1.362907875,1.272180906,1.181453937,1.090726969,1
34,male,5,0.2,0.2,0.2,0.2,0.2,1.679494989,1.509621242,1.339747494,1.169873747,1,1.362907875,1.272180906,1.181453937,1.090726969,1
35,male,5,0.2,0.2,0.2,0.2,0.2,1.697186103,1.522889577,1.348593052,1.174296526,1,1.367834235,1.275875676,1.183917117,1.091958559,1
